raw-pancreas-human-Baron.h5ad,raw-pancreas-mouse-Baron.h5ad
UNC50,Unc50
WARS1,Wars
OR2C1,Olfr15
SLC30A8,Slc30a8
PRDM5,Prdm5
TSPAN8,Tspan8
PPARA,Ppara
VSTM5,Vstm5
GTSF1L,Gtsf1l
CXorf21,5430427O19Rik
C20orf194,4930402H24Rik
CHRDL1,Chrdl1
AVPR2,Avpr2
C1RL,C1rl
RPN1,Rpn1
UBL3,Ubl3
GFRA2,Gfra2
TOMM20L,Tomm20l
CCNL1,Ccnl1
ARHGAP4,Arhgap4
C2orf72,2810459M11Rik
ZNF597,Zfp597
TIMM9,Timm9
NR0B1,Nr0b1
R3HDM1,R3hdm1
ZNF174,Zfp174
SPATS2L,Spats2l
TOX2,Tox2
PDK2,Pdk2
INKA1,Inka1
C16orf90,1700037C18Rik
C14orf119,1700123O20Rik
GPAM,Gpam
AMIGO3,Amigo3
AP2A2,Ap2a2
IRF9,Irf9
MCF2L,Mcf2l
FAM120A,Fam120a
MAGEB2,Mageb4
TRAIP,Traip
CDH24,Cdh24
LRRK1,Lrrk1
RPS6KA3,Rps6ka3
HHAT,Hhat
MTARC2,Mtarc2
PHKA1,Phka1
PDLIM1,Pdlim1
NAA60,Naa60
PTHLH,Pthlh
AGAP1,Agap1
CUL9,Cul9
C4orf47,1700029J07Rik
SDHAF1,Sdhaf1
GMPPB,Gmppb
MYNN,Mynn
CCDC91,Ccdc91
PMM1,Pmm1
RBPMS,Rbpms
CST11,Cst11
OPRL1,Oprl1
PBK,Pbk
RNMT,Rnmt
WDR25,Wdr25
POLR2F,Polr2f
CD52,Cd52
ADH4,Adh4
SAFB2,Safb2
CADM2,Cadm2
CYP1A2,Cyp1a2
INSYN1,Insyn1
PPIP5K1,Ppip5k1
CRYBG2,Crybg2
RNF123,Rnf123
MUC19,Muc19
GLRX,Glrx
ADCY10,Adcy10
C22orf23,1700088E04Rik
EP300,Ep300
IL1RAP,Il1rap
PRDM2,Prdm2
FAM98A,Fam98a
TEKT2,Tekt2
MRPS18C,Mrps18c
PCDH17,Pcdh17
CDPF1,Cdpf1
ZKSCAN2,Zkscan2
MAPKAP1,Mapkap1
APOOL,Apool
SLC26A8,Slc26a8
ADH5,Adh5
HS3ST4,Hs3st4
SLITRK2,Slitrk2
DLX1,Dlx1
SLC15A5,Slc15a5
FNDC10,Fndc10
MED30,Med30
METAP1D,Metap1d
GSTM4,Gstm4
MSC,Msc
NIPAL2,Nipal2
CYP1A1,Cyp1a1
COBLL1,Cobll1
MAPK8IP1,Mapk8ip1
SSU72,Ssu72
POU4F1,Pou4f1
ESCO2,Esco2
CD276,Cd276
TRIM65,Trim65
PLIN2,Plin2
EIF1AX,Eif1ax
UBA3,Uba3
OBI1,Rnf219
LRRC49,Lrrc49
MAP3K1,Map3k1
HAS2,Has2
CISD1,Cisd1
MICALL1,Micall1
NUDT1,Nudt1
SATL1,Satl1
RDX,Rdx
SYTL4,Sytl4
GUCY1A2,Gucy1a2
TRIM47,Trim47
ZNF142,Zfp142
NDEL1,Ndel1
DESI2,Desi2
KDM8,Kdm8
RAB22A,Rab22a
NCAM2,Ncam2
PKDREJ,Pkdrej
AAGAB,Aagab
TTC38,Ttc38
USP21,Usp21
TAF15,Taf15
RNF44,Rnf44
PAG1,Pag1
MYT1,Myt1
WNK1,Wnk1
ZBTB20,Zbtb20
GALNT5,Galnt5
LY6L,Ly6l
HCFC1,Hcfc1
LRFN3,Lrfn3
CADM1,Cadm1
CNOT9,Cnot9
C11orf94,1700029I15Rik
PAK6,Pak6
TYROBP,Tyrobp
MAP7D2,Map7d2
RNF222,Rnf222
ERMN,Ermn
GATA2,Gata2
HCST,Hcst
TOR1AIP2,Tor1aip2
VAPB,Vapb
MYO5C,Myo5c
USP37,Usp37
CCDC25,Ccdc25
KIF2C,Kif2c
USP48,Usp48
FNDC3A,Fndc3a
ASAH2,Asah2
CHST11,Chst11
DLG3,Dlg3
SRF,Srf
ARMC9,Armc9
OR10D3,Olfr958
TMEM240,Tmem240
GNB5,Gnb5
MCAM,Mcam
TOR1AIP1,Tor1aip1
DNAJB8,Dnajb8
ESD,Esd
MGST1,Mgst1
GPR119,Gpr119
NOX4,Nox4
TFCP2L1,Tfcp2l1
YBX2,Ybx2
LGMN,Lgmn
RBMX2,Rbmx2
NDC1,Ndc1
JMJD7,Jmjd7
ZNF711,Zfp711
GTSE1,Gtse1
ANKRD63,Ankrd63
VIL1,Vil1
HEATR9,Heatr9
SPTBN5,Sptbn5
EXT1,Ext1
DCLRE1B,Dclre1b
FAM220A,Fam220a
SLC41A2,Slc41a2
GRIN2A,Grin2a
EDC3,Edc3
BCL2L10,Bcl2l10
RHOBTB3,Rhobtb3
F3,F3
PTK7,Ptk7
BCLAF3,Bclaf3
ARL6IP5,Arl6ip5
MAPK6,Mapk6
LMOD3,Lmod3
PTX3,Ptx3
AASDHPPT,Aasdhppt
VEPH1,Veph1
APEH,Apeh
CLK3,Clk3
STX18,Stx18
CST8,Cst8
PLCD4,Plcd4
SPATA6,Spata6
PHF20,Phf20
SPNS3,Spns3
LEO1,Leo1
THPO,Thpo
AMPD2,Ampd2
TRMU,Trmu
NAT10,Nat10
KBTBD3,Kbtbd3
IMP4,Imp4
MSANTD4,Msantd4
MAP1A,Map1a
TECTB,Tectb
TMOD3,Tmod3
GRIA2,Gria2
CHRD,Chrd
COX20,Cox20
ABRAXAS1,Abraxas1
GRINA,Grina
SYCP2,Sycp2
TCEAL1,Tceal1
HNRNPU,Hnrnpu
TPM1,Tpm1
CLIP1,Clip1
SOX13,Sox13
BSN,Bsn
CNTN1,Cntn1
MED25,Med25
POF1B,Pof1b
CCDC115,Ccdc115
NSG1,Nsg1
PSMD12,Psmd12
GLRA4,Glra4
PGK2,Pgk2
RFX5,Rfx5
SH3GLB2,Sh3glb2
ZYG11A,Zyg11a
MST1,Mst1
SLC6A18,Slc6a18
METAP1,Metap1
ALDH1A3,Aldh1a3
SPATC1,Spatc1
KLC4,Klc4
DDX6,Ddx6
FGF21,Fgf21
MIGA1,Miga1
MORF4L2,Morf4l2
ERICH3,Erich3
TLE1,Tle1
TRPA1,Trpa1
CST3,Cst3
UFC1,Ufc1
PPP1R3D,Ppp1r3d
ALDH16A1,Aldh16a1
NCF4,Ncf4
SCARA3,Scara3
FAM217B,Fam217b
OR6Y1,Olfr414
PKD1L3,Pkd1l3
OR6P1,Olfr220
ZC3H12C,Zc3h12c
EBI3,Ebi3
MGAT4A,Mgat4a
NPTN,Nptn
KATNAL1,Katnal1
YJU2,Yju2
MRPL2,Mrpl2
IP6K1,Ip6k1
P2RX4,P2rx4
PSMD1,Psmd1
FUT1,Fut1
TMEM25,Tmem25
C11orf87,AI593442
FAM227A,Fam227a
GNAT2,Gnat2
C12orf45,D10Wsu102e
KIAA1109,4932438A13Rik
LARP6,Larp6
CDC42EP1,Cdc42ep1
FMN2,Fmn2
ALDH1L2,Aldh1l2
LGALS2,Lgals2
HTR2B,Htr2b
MUC6,Muc6
CDC14C,Cdc14b
CLCN5,Clcn5
PDZRN4,Pdzrn4
CDHR4,Cdhr4
LY6H,Ly6h
LBP,Lbp
DIAPH3,Diaph3
PIH1D1,Pih1d1
ANKH,Ank
TTC36,Ttc36
SHD,Shd
SPATA9,Spata9
TMOD2,Tmod2
CCT3,Cct3
OTULIN,Otulin
SAFB,Safb
CUL7,Cul7
BCL2L15,Bcl2l15
SERTAD4,Sertad4
GREM2,Grem2
SAYSD1,Saysd1
GLI2,Gli2
ERGIC3,Ergic3
REC114,Rec114
ITGB5,Itgb5
SLC35C2,Slc35c2
CYP21A2,Cyp21a1
ARHGEF15,Arhgef15
LMO3,Lmo3
CDH26,Cdh26
DKC1,Dkc1
HELZ,Helz
TSPAN15,Tspan15
TARBP2,Tarbp2
MRPL38,Mrpl38
SHBG,Shbg
MC5R,Mc5r
MC2R,Mc2r
TACR2,Tacr2
SCAND1,Scand1
ZYG11B,Zyg11b
IST1,Ist1
CNBD2,Cnbd2
IPMK,Ipmk
ATAD3A,Atad3a
ELMOD3,Elmod3
KCNQ2,Kcnq2
ZFP36L2,Zfp36l2
NOX1,Nox1
UNG,Ung
MAOA,Maoa
UBXN11,Ubxn11
THADA,Thada
FSD1,Fsd1
NXPH4,Nxph4
MPP1,Mpp1
PRXL2C,Prxl2c
MICOS13,Micos13
SNRPE,Snrpe
SLC41A3,Slc41a3
AIRE,Aire
GDNF,Gdnf
RPL36,Rpl36
ATP11A,Atp11a
GLB1L3,Glb1l3
STAP2,Stap2
ISL1,Isl1
MPZL1,Mpzl1
STX16,Stx16
ABCD3,Abcd3
SETD4,Setd4
FMR1,Fmr1
FAM163A,Fam163a
LYSMD2,Lysmd2
CSTF2,Cstf2
GPIHBP1,Gpihbp1
GXYLT1,Gxylt1
SH3BGRL3,Sh3bgrl3
CYTH3,Cyth3
GOLGA1,Golga1
NFKBID,Nfkbid
RGS7,Rgs7
NRP1,Nrp1
ATP6V1H,Atp6v1h
RALBP1,Ralbp1
SAT2,Sat2
MAOB,Maob
ANKRD55,Ankrd55
SETDB2,Setdb2
GRHL3,Grhl3
FBXO22,Fbxo22
DPYSL5,Dpysl5
COA7,Coa7
PACRGL,5730480H06Rik
P4HA1,P4ha1
CMAS,Cmas
SCG3,Scg3
SHISAL2A,Shisal2a
SNX8,Snx8
NRG4,Nrg4
GPX7,Gpx7
RGS20,Rgs20
PAK3,Pak3
KCNIP4,Kcnip4
KCNQ1,Kcnq1
SH3YL1,Sh3yl1
CHM,Chm
NSMCE1,Nsmce1
CEP295,Cep295
ARL13A,Arl13a
NPFF,Npff
XKRX,Xkrx
RNF17,Rnf17
CLCA1,Clca1
LNPK,Lnpk
WDR70,Wdr70
LONP1,Lonp1
JPH2,Jph2
RANGRF,Rangrf
C1orf115,C130074G19Rik
SYNDIG1,Syndig1
LRCH1,Lrch1
TEX11,Tex11
MLXIPL,Mlxipl
SLC25A35,Slc25a35
NEFL,Nefl
CALCOCO1,Calcoco1
BMP5,Bmp5
AFDN,Afdn
TREH,Treh
REC8,Rec8
TGIF1,Tgif1
HMGCLL1,Hmgcll1
ITGB1,Itgb1
EEFSEC,Eefsec
ARID3B,Arid3b
SLC7A4,Slc7a4
PLEKHH2,Plekhh2
SQOR,Sqor
SPEF2,Spef2
EFCAB2,Efcab2
UBXN4,Ubxn4
ST8SIA1,St8sia1
UFSP2,Ufsp2
PHLDB1,Phldb1
CATSPERD,Catsperd
YAF2,Yaf2
P2RX6,P2rx6
TDRD5,Tdrd5
IFNLR1,Ifnlr1
NBR1,Nbr1
OPLAH,Oplah
NPEPL1,Npepl1
MRPL39,Mrpl39
OSER1,Oser1
CLCA2,Clca2
TYR,Tyr
C11orf54,4931406C07Rik
ZCRB1,Zcrb1
HOXC13,Hoxc13
ANKRD37,Ankrd37
HOXC12,Hoxc12
USP34,Usp34
PGAP2,Pgap2
DAG1,Dag1
KIF26B,Kif26b
AGO3,Ago3
TXLNA,Txlna
LRP2BP,Lrp2bp
GRIA4,Gria4
RASIP1,Rasip1
ATRN,Atrn
TWSG1,Twsg1
EXOSC4,Exosc4
CAB39L,Cab39l
RRP1B,Rrp1b
ACSL5,Acsl5
GFRAL,Gfral
STAU1,Stau1
TAF1D,Taf1d
IZUMO1,Izumo1
RCSD1,Rcsd1
HOXC11,Hoxc11
FEZ2,Fez2
TMEM63A,Tmem63a
CDADC1,Cdadc1
SLC2A4,Slc2a4
ZDHHC6,Zdhhc6
HCRTR2,Hcrtr2
HOXC9,Hoxc9
HSF2BP,Hsf2bp
DENND4C,Dennd4c
HOXC10,Hoxc10
HOXC8,Hoxc8
HOXC5,Hoxc5
OLFM2,Olfm2
HOXC6,Hoxc6
APLP1,Aplp1
LRRC34,Lrrc34
CRIM1,Crim1
SUPT4H1,Supt4a
NICN1,Nicn1
LRRIQ4,Lrriq4
FAM83B,Fam83b
USP27X,Usp27x
RUBCNL,Rubcnl
MAD2L1,Mad2l1
PDPN,Pdpn
ZNF687,Zfp687
GPAT3,Gpat3
ARHGAP29,Arhgap29
PKP1,Pkp1
STAT1,Stat1
TGOLN2,Tgoln1
DNAJB2,Dnajb2
CENPJ,Cenpj
EIF4E,Eif4e
RETSAT,Retsat
PI4KB,Pi4kb
LRRC63,Lrrc63
COL25A1,Col25a1
PLA2G12B,Pla2g12b
RHOA,Rhoa
KCNK5,Kcnk5
FPGT,Fpgt
DCTN6,Dctn6
C1orf127,Gm572
KCTD18,Kctd18
FRMD4B,Frmd4b
TCTA,Tcta
GBX2,Gbx2
ATP2B1,Atp2b1
HOXC4,Hoxc4
CALD1,Cald1
GLRB,Glrb
GNAS,Gnas
CDKN1C,Cdkn1c
CDH4,Cdh4
IL4R,Il4ra
HCN4,Hcn4
NDP,Ndp
DDX10,Ddx10
PSME3IP1,Fam192a
GDAP1L1,Gdap1l1
LCT,Lct
GRM5,Grm5
FABP5,Fabp5
C3orf62,1700102P08Rik
FRMPD2,Frmpd2
TAF4,Taf4
AP2A1,Ap2a1
SMAD3,Smad3
FITM1,Fitm1
GPX1,Gpx1
ZHX2,Zhx2
IHO1,Ccdc36
LRRC38,Lrrc38
GGA1,Gga1
SYT14,Syt14
USP4,Usp4
RPS6,Rps6
ANO4,Ano4
KCNK16,Kcnk16
JAM2,Jam2
EVX2,Evx2
FBF1,Fbf1
LCP1,Lcp1
UMPS,Umps
CDHR2,Cdhr2
RBM26,Rbm26
MIS18BP1,Mis18bp1
MCM6,Mcm6
RANBP3,Ranbp3
LRRC31,Lrrc31
SMIM9,Smim9
ACACB,Acacb
CCDC22,Ccdc22
GPRIN1,Gprin1
CLU,Clu
DEDD,Dedd
EPHX1,Ephx1
DGKG,Dgkg
USP42,Usp42
ACER2,Acer2
FOXP3,Foxp3
LASP1,Lasp1
RSPRY1,Rspry1
HOXD13,Hoxd13
MYL12A,Myl12a
ANKRD12,Ankrd12
PDGFC,Pdgfc
KPNA6,Kpna6
SMUG1,Smug1
STAT4,Stat4
KIAA0586,2700049A03Rik
EFHC2,Efhc2
RSRC1,Rsrc1
POC1B,Poc1b
VMAC,Vmac
CBX5,Cbx5
NIT1,Nit1
GLE1,Gle1
EHD4,Ehd4
MYOM1,Myom1
CBY1,Cby1
SMYD3,Smyd3
IL22RA1,Il22ra1
EXPH5,Exph5
HSF4,Hsf4
AXDND1,Axdnd1
SHOX2,Shox2
FUZ,Fuz
NRTN,Nrtn
GNAI3,Gnai3
ZNF821,Zfp821
UBE2G1,Ube2g1
MAPK14,Mapk14
OIT3,Oit3
FUNDC2,Fundc2
ASB18,Asb18
SLC7A3,Slc7a3
HOXD12,Hoxd12
F8,F8
NPHS2,Nphs2
PLCB2,Plcb2
HOXD11,Hoxd11
PPP1R3F,Ppp1r3f
RRP36,Rrp36
EPHA5,Epha5
HOXD10,Hoxd10
MBOAT4,Mboat4
KMO,Kmo
SLC38A11,Slc38a11
ATXN1L,Atxn1l
GPR61,Gpr61
COL6A2,Col6a2
KCNS2,Kcns2
ACAD8,Acad8
AMIGO1,Amigo1
IGFN1,Igfn1
EIF5,Eif5
MYOM3,Myom3
LRRIQ3,Lrriq3
MIGA2,Miga2
STK19,Stk19
PTPRR,Ptprr
FH,Fh1
TOMM22,Tomm22
GOLGA5,Golga5
MEA1,Mea1
MARK1,Mark1
UTP25,Utp25
TBX2,Tbx2
FUNDC1,Fundc1
PMP2,Pmp2
KLHDC3,Klhdc3
DYNC2LI1,Dync2li1
DUS3L,Dus3l
GOLM1,Golm1
COL5A3,Col5a3
SHROOM3,Shroom3
CAMKK2,Camkk2
SH3GL1,Sh3gl1
PDXP,Pdxp
IL1RAPL1,Il1rapl1
TFB2M,Tfb2m
PPP2R5D,Ppp2r5d
CLASRP,Clasrp
CBR3,Cbr3
TSPAN5,Tspan5
NAA35,Naa35
ABCG8,Abcg8
SMAD6,Smad6
MPND,Mpnd
ASB7,Asb7
FITM2,Fitm2
PRR22,Prr22
LSM14B,Lsm14b
ERGIC2,Ergic2
CYB561D1,Cyb561d1
SAMD12,Samd12
NDFIP2,Ndfip2
SKIV2L,Skiv2l
R3HDML,R3hdml
FMR1NB,Fmr1nb
ALOX5,Alox5
HNF4A,Hnf4a
DAP3,Dap3
ABCG5,Abcg5
VIT,Vit
CPB2,Cpb2
GBE1,Gbe1
MTCP1,Mtcp1
CMC4,Cmc4
GLIS1,Glis1
SPAG4,Spag4
NEO1,Neo1
SAMD7,Samd7
NXPE4,Nxpe4
RALGAPB,Ralgapb
NXPE2,Nxpe2
SEC62,Sec62
IPO4,Ipo4
JOSD1,Josd1
IFT43,Ift43
ARAP1,Arap1
DXO,Dxo
LCTL,Lctl
ADAM7,Adam7
C3orf84,BC048562
SHISA2,Shisa2
ITGA3,Itga3
ZWILCH,Zwilch
KLHDC8B,Klhdc8b
TRAF3IP3,Traf3ip3
AC118553.2,Gm43191
ZNF605,Zfp605
MFSD14A,Mfsd14a
JAK3,Jak3
GFRA4,Gfra4
DLX2,Dlx2
TERF1,Terf1
SLC35A3,Slc35a3
CCDC71,Ccdc71
FAR2,Far2
TINAG,Tinag
TTPAL,Ttpal
HOXD9,Hoxd9
NFE2,Nfe2
SNCB,Sncb
ODF2L,Odf2l
CTSC,Ctsc
ASH1L,Ash1l
MSH3,Msh3
SBSPON,Sbspon
PRICKLE1,Prickle1
PARP4,Parp4
PCMTD2,Pcmtd2
ETNPPL,Etnppl
MAMSTR,Mamstr
IRF6,Irf6
OR4A15,Olfr1234
PSMA7,Psma7
GMNC,Gmnc
VWA1,Vwa1
CRYGS,Crygs
CBL,Cbl
NRG2,Nrg2
SLC22A18,Slc22a18
C1orf74,A130010J15Rik
RHOG,Rhog
NDUFV2,Ndufv2
COPZ1,Copz1
TMEM39B,Tmem39b
INHBB,Inhbb
IRAK1,Irak1
HMGN4,Gm20379
FABP4,Fabp4
EIF3B,Eif3b
TBX4,Tbx4
SNX12,Snx12
SLC5A9,Slc5a9
MLIP,Mlip
BEGAIN,Begain
FOXN4,Foxn4
OSTN,Ostn
FAM110C,Fam110c
LAMB2,Lamb2
NEGR1,Negr1
PTPRN,Ptprn
CAPN6,Capn6
ADIG,Adig
OBSCN,Obscn
TMEM88B,Tmem88b
RALB,Ralb
NVL,Nvl
MARK2,Mark2
TRMT2B,Trmt2b
HOXD3,Hoxd3
ZNF385A,Zfp385a
ANKRD65,Ankrd65
NINJ2,Ninj2
ARHGAP40,Arhgap40
THYN1,Thyn1
TNFRSF11B,Tnfrsf11b
C8orf89,4930444P10Rik
POLR3K,Polr3k
POGLUT3,Poglut3
INAFM2,Inafm2
HOXD8,Hoxd8
OTULINL,Otulinl
ADAM2,Adam2
KIAA0895L,4931428F04Rik
VPS26B,Vps26b
TMEM185B,Tmem185b
ITGA5,Itga5
AFF2,Aff2
LPCAT3,Lpcat3
EXOC3L1,Exoc3l
PTPRG,Ptprg
FOXO4,Foxo4
CCDC9B,Ccdc9b
GAPVD1,Gapvd1
DUSP21,Dusp21
CACNG1,Cacng1
DCX,Dcx
NOL3,Nol3
PHLDA2,Phlda2
EMG1,Emg1
TOP1MT,Top1mt
PEX6,Pex6
CHST12,Chst12
PTPN20,Ptpn20
COLEC10,Colec10
AGO1,Ago1
RAB38,Rab38
CXorf65,Gm614
MAPRE1,Mapre1
GPATCH2L,Gpatch2l
KHDRBS1,Khdrbs1
PIP4K2C,Pip4k2c
C11orf65,4930550C14Rik
PSMD4,Psmd4
USP19,Usp19
DTX3,Dtx3
SLC39A4,Slc39a4
FABP12,Fabp12
NOTCH3,Notch3
ATP8A2,Atp8a2
STRN,Strn
RPL9,Rpl9-ps1
AOX1,Aox1
NTN5,Ntn5
GRIFIN,Grifin
ADAMTS20,Adamts20
CACNG4,Cacng4
UTS2B,Uts2b
GPR160,Gpr160
FUT2,Sec1
MRPL20,Mrpl20
FES,Fes
RDH8,Rdh8
RPL7,Rpl7
TMEM9,Tmem9
GTPBP1,Gtpbp1
PTP4A2,Ptp4a2
TSPOAP1,Tspoap1
KLHDC9,Klhdc9
SRSF10,Srsf10
ZC3H13,Zc3h13
PFDN2,Pfdn2
SERINC3,Serinc3
PHETA1,Pheta1
GNMT,Gnmt
SLC32A1,Slc32a1
SS18L1,Ss18l1
MAL2,Mal2
ATXN7L2,Atxn7l2
SIAH3,Siah3
SCAI,Scai
CCNL2,Ccnl2
CBY2,Cby2
CRY2,Cry2
OR5AR1,Olfr1019
MYO1H,Myo1h
RERGL,Rergl
TMEM35A,Tmem35a
OR5AP2,Olfr1020
OSTC,Ostc
MTG2,Mtg2
SEMA6D,Sema6d
DISP2,Disp2
EPHX2,Ephx2
CNIH4,Cnih4
RUVBL1,Ruvbl1
KCTD10,Kctd10
BBS4,Bbs4
MPHOSPH8,Mphosph8
ADPGK,Adpgk
DAB2,Dab2
CNPY3,Cnpy3
IARS2,Iars2
KIT,Kit
RESP18,Resp18
TMEM135,Tmem135
ACTR5,Actr5
COG3,Cog3
LFNG,Lfng
GLOD4,Glod4
NUDT13,Nudt13
APBB1,Apbb1
RFESD,Rfesd
CCN3,Ccn3
SPRY2,Spry2
CYFIP1,Cyfip1
PTCRA,Ptcra
PUS7L,Pus7l
TRIM52,Trim52
RAB3GAP2,Rab3gap2
C6orf226,2310039H08Rik
ZRANB2,Zranb2
VBP1,Vbp1
TCF7L1,Tcf7l1
CENPC,Cenpc1
MLF1,Mlf1
RPL7L1,Rpl7l1
SERTM2,A730046J19Rik
LRRC1,Lrrc1
TONSL,Tonsl
NCAPD3,Ncapd3
GEMIN4,Gemin4
MRM3,Mrm3
SLITRK1,Slitrk1
RAB39B,Rab39b
MITF,Mitf
VPS53,Vps53
SLITRK6,Slitrk6
VPS28,Vps28
SPOCD1,Spocd1
DACH2,Dach2
SLITRK5,Slitrk5
REXO2,Rexo2
DDX11,Ddx11
SYPL2,Sypl2
CRACDL,2010300C02Rik
ROBO1,Robo1
RAP1GDS1,Rap1gds1
PHB2,Phb2
STIM1,Stim1
TMEM266,Tmem266
CHGA,Chga
SUN5,Sun5
RPL34,Rpl34
HOXD1,Hoxd1
SCN3A,Scn3a
PPP1R16B,Ppp1r16b
DDX27,Ddx27
BICRAL,Bicral
SLC24A2,Slc24a2
TBCCD1,Tbccd1
AP1G1,Ap1g1
EPB41L5,Epb41l5
DMRTB1,Dmrtb1
ANKFY1,Ankfy1
TWF1,Twf1
IRAK4,Irak4
C11orf71,Gm5617
NECTIN4,Nectin4
NUMB,Numb
CRCP,Crcp
PKIG,Pkig
KLHL31,Klhl31
GCLC,Gclc
SOAT1,Soat1
FZD4,Fzd4
BRIP1,Brip1
OR13A1,Olfr211
TLCD3A,Fam57a
NKX6-1,Nkx6-1
MTX2,Mtx2
ADGRA3,Adgra3
B4GALNT3,B4galnt3
TPST1,Tpst1
LINS1,Lins1
PARP8,Parp8
HRH3,Hrh3
TMEM117,Tmem117
ANKRD34B,Ankrd34b
FXYD1,Fxyd1
NELL2,Nell2
KCTD7,Kctd7
ARHGAP45,Arhgap45
SNAPC5,Snapc5
IL21R,Il21r
GPC5,Gpc5
PSPC1,Pspc1
USP33,Usp33
TBL2,Tbl2
NNMT,Nnmt
TRPC5OS,Trpc5os
ELOVL5,Elovl5
CENPI,Cenpi
PLEKHA7,Plekha7
TRPC5,Trpc5
ACOX1,Acox1
ZBTB16,Zbtb16
PRSS23,Prss23
GCM1,Gcm1
GPC6,Gpc6
DERL1,Derl1
FAM83D,Fam83d
PSMA5,Psma5
IQCA1,Iqca
FBXO9,Fbxo9
HTR3A,Htr3a
DARS1,Dars
WDR26,Wdr26
TIGIT,Tigit
DCT,Dct
PHLPP2,Phlpp2
TBCC,Tbcc
PRPH2,Prph2
RTL4,Rtl4
BCL7B,Bcl7b
ETFA,Etfa
BPIFB2,Bpifb2
MAP2K1,Map2k1
ME3,Me3
ADAMDEC1,Adamdec1
LEF1,Lef1
KLHL4,Klhl4
MARVELD3,Marveld3
HEATR5B,Heatr5b
UBTF,Ubtf
ZMYM5,Zmym5
LHFPL1,Lhfpl1
LRPPRC,Lrpprc
ACKR3,Ackr3
FBXO47,Fbxo47
SLC25A30,Slc25a30
DRD3,Drd3
ARSK,Arsk
ADA,Ada
CHRNA2,Chrna2
SORT1,Sort1
NIPA2,Nipa2
MTCL1,Mtcl1
CILK1,Cilk1
TGDS,Tgds
MAGEB18,Mageb18
GTF3C1,Gtf3c1
L3MBTL2,L3mbtl2
COMT,Comt
CDS1,Cds1
LAMB3,Lamb3
UBL7,Ubl7
LPIN2,Lpin2
ZNFX1,Znfx1
CYB5D2,Cyb5d2
ARHGAP30,Arhgap30
GPR180,Gpr180
FANCD2OS,Fancd2os
ARVCF,Arvcf
TIPIN,Tipin
BMERB1,Bmerb1
FANCD2,Fancd2
BPIFB6,Bpifb6
G0S2,G0s2
HSD11B1,Hsd11b1
ZNF22,Zfp422
SOX21,Sox21
CHADL,Chadl
ISL2,Isl2
C2CD5,C2cd5
AMOT,Amot
CCDC153,Ccdc153
OSBPL2,Osbpl2
MOAP1,Moap1
GPATCH11,Gpatch11
MCHR1,Mchr1
TMEM251,Tmem251
PTGER3,Ptger3
DBX2,Dbx2
BRD7,Brd7
CPXCR1,Cpxcr1
ATM,Atm
ITPK1,Itpk1
ABCC4,Abcc4
PDGFB,Pdgfb
SEMA7A,Sema7a
PIP5K1A,Pip5k1a
ANO6,Ano6
IMPA1,Impa1
CTH,Cth
CERS3,Cers3
STK3,Stk3
TMEM185A,Tmem185a
ARMH1,Armh1
SLC10A5,Slc10a5
CYP11A1,Cyp11a1
ARIH1,Arih1
CCN5,Ccn5
CNIH3,Cnih3
DACT1,Dact1
TMEM53,Tmem53
SCN2A,Scn2a
KCNK15,Kcnk15
LMLN2,Gm29776
ARX,Arx
SLC25A17,Slc25a17
ATF7IP2,Atf7ip2
RIMS4,Rims4
USF1,Usf1
CFAP97,Cfap97
HTR3B,Htr3b
EIF2AK2,Eif2ak2
SNX25,Snx25
YWHAB,Ywhab
TSTD1,Tstd1
CEBPE,Cebpe
BPIFB3,Bpifb3
SULT6B1,Sult6b1
DEPP1,Depp1
HTR2C,Htr2c
TPT1,Tpt1
RASSF4,Rassf4
AK5,Ak5
ZMYM2,Zmym2
RAP1GAP,Rap1gap
ZZZ3,Zzz3
SOWAHB,Sowahb
KCMF1,Kcmf1
EMILIN2,Emilin2
ELMO2,Elmo2
PFAS,Pfas
CYTIP,Cytip
IL13RA2,Il13ra2
NAP1L2,Nap1l2
UBR2,Ubr2
GTSF1,Gtsf1
DPPA5,Dppa5a
OOEP,Ooep
CRAT,Crat
ANK2,Ank2
DIS3L,Dis3l
CHFR,Chfr
LAMA5,Lama5
ADAMTS17,Adamts17
GAS2L3,Gas2l3
ARID2,Arid2
BRK1,Brk1
PABPC5,Pabpc5
NKD1,Nkd1
DOLPP1,Dolpp1
ANKRD13C,Ankrd13c
CGAS,Cgas
SLC3A1,Slc3a1
DLX3,Dlx3
PREPL,Prepl
CA11,Car11
ECD,Ecd
TSGA10,Tsga10
LRP8,Lrp8
MLLT3,Mllt3
MTO1,Mto1
CCDC50,Ccdc50
IL2,Il2
ADAD1,Adad1
RDH10,Rdh10
SLC35C1,Slc35c1
SCAF11,Scaf11
VHL,Vhl
SNX20,Snx20
PTPN18,Ptpn18
B3GNT7,B3gnt7
PLXDC1,Plxdc1
EEF1A1,Eef1a1
DUSP6,Dusp6
DRP2,Drp2
TMEM72,Tmem72
DLX4,Dlx4
MTMR6,Mtmr6
SEPTIN11,Septin11
SLC17A5,Slc17a5
RHPN1,Rhpn1
STAU2,Stau2
RCBTB2,Rcbtb2
HADH,Hadh
MARF1,Marf1
ADAM28,Adam28
AGO4,Ago4
SORBS1,Sorbs1
NDE1,Nde1
NCKAP1L,Nckap1l
BPNT1,Bpnt1
